være , be
og , and
i , in
en , one
det , it
på , on
som , who
ha , have
til , to
av , of
for , for
med , with
at , that
jeg , I
ikke , not
de , the
den , the
bli , be
du , you
om , about
kunne , could
vi , we
men , but
fra , from
mye , much
så , so
få , get
skulle , should
noen , some
ville , would
dette , this
seg , out
han , he
god , good
mange , many
all , all
andre , other
eller , or
annen , other
også , also
se , see
si , say
komme , come
ta , take
gå , go
ut , out
man , one
stor , large
år , years
måtte , had
sin , its
gjøre , do
lese , read
etter , by
da , when
hel , whole
nå , now
når , when
ny , new
ved , by
dag , Today
denne , this
liten , small
her , here
opp , up
over , of
hun , she
bare , only
gi , give
finne , find
inn , In
to , two
slik , such
skrive , write
litt , some
mot , against
enn , than
hva , what
bruke , use
der , where
min , my
sak , case
gang , time
legge , put
innlegg , Posts
tid , time
før , before
hvor , where
lang , long
selv , even
jo , the
siden , ago
del , part
tro , faith
din , yours
nok , enough
stå , stand
under , under
vise , view
hvis , if the
svar , Answers
disse , these
vite , Know
vår , our
mene , flows
første , first
òg , ish
sette , set
norsk , Norwegian
burde , ought
ingen , no
mellom , between
både , the
igjen , again
egen , own
viktig , important
bilde , picture
barn , children
hver , each
samme , same
sist , last
hvordan , how
uten , without
holde , keep
dere , you
land , countries
kanskje , maybe
frem , forward
sende , send
vel , well
folk , people
veldig , really
ned , down
sammen , together
tidlig , early
ligge , lying
enkel , simple
bra , great
gjennom , the
rundt , about
and , duck
spille , Play
høy , high
side , page
gammel , old
tenke , think
by , by
synes , find
film , film
blant , among
uke , week
kommentar , Comment
fordi , because
måte , Field
sted , place
ønske , Wishlist
lage , make
derfor , therefore
verden , World
forhold , conditions
mann , husband
kamp , Match
klar , clear
krone , crown
mens , while
liv , life
skje , spoon
høre , hear
kjenne , know
mulig , possible
problem , problem
grunn , because
menneske , human
øke , increase
tilbake , back
velge , choose
hans , his
heller , rather
begynne , start
tips , Tips
ting , things
hos , with
vid , loose
spørsmål , Questions
kjøpe , purchase
rett , right
aldri , never
gjelde , apply
like , as
vei , way
tre , three
skole , School
medlem , Member
mål , Goals
bok , book
kvinne , woman
trenge , need
spesiell , special
arbeid , Work
tillegg , addition
klare , clear
plass , space
prosent , percent
dersom , if the
fin , fine
ofte , often
hvilken , which
fortelle , tell
kommune , Municipality
million , million
sterk , strong
hm , hm
mulighet , opportunity
venn , Friend
svær , massively
nær , close
dårlig , poor
først , first
bruk , use
pris , price
person , person
eksempel , example
kun , only
faktisk , actually
stille , the
full , full
starte , start
neste , next
område , area
penge , monetary
lett , easy
time , hour
ulik , different
hvorfor , why
lissom , lissom
jobb , job
alltid , always
topp , top
deres , your
prøve , try
sikker , sure
selskap , company
samtidig , simultaneously
vanskelig , difficult
jobbe , work
sitte , sit
snakke , talk
slå , switch
lenge , long
be , ask
ca. , about
nesten , almost
føre , cause
egentlig , really
bygge , building
følge , follow
kort , short
bil , car
allerede , already
ganske , quite
vinne , win
resultat , results
sen , Late
fortsatt , still
vanlig , common
møte , meeting
gjerne , happy
altså , ie
håpe , hope
tall , numbers
hei , hey
navn , names
føle , feel
måned , month
ja , yes
artikkel , Article
selge , sell
student , student
oi , oi
slutt , Finally
informasjon , info
likevel , nevertheless
forskjellig , different
lag , team
is , ice
sånn , like this
virke , real
hvem , who
la , let
hund , dog
ute , out
ung , young
tur , trip
skape , create
dermed , thus
prosjekt , project
kveld , evening
løp , race
kalle , call
lov , Law
forum , Forums
enda , even
historie , history
vente , wait
bety , mean
kreve , require
fortsette , continue
akkurat , just
bak , back
kjøre , run
utvikling , development
jente , girl
feil , error
oktober , October
fire , four
eneste , only
krav , claim
politisk , political
ord , words
mai , May
betale , pay
grad , degree
begge , either
endre , change
poste , post
friminutt , break time
innen , by
nei , no
hjelpe , assist
lav , Low
dra , go
drive , drive
spørre , ask
gruppe , group
leve , Living
hjelp , Help
meget , very
form , form
offentlig , public
forslag , suggestions
enkelt , single
særlig , particularly
virkelig , really
samt , as well as
imidlertid ," however,"
lure , trick
spill , games
valg , choice
uansett , regardless
forstå , understand
lære , learn
september , September
bo , stay
åpne , open
registrere , register
fall , fall
par , couple
vond , bad
internasjonal , international
tema , Theme
riktig , right
publisere , post
dyr , animals
type , type
regel , rule
regjering , Government
program , program
situasjon , situation
utvikle , develop
vann , water
familie , family
gutt , boy
enig , agree
musikk , Music
kontakt , contact
samfunn , community
hjem , homes
bidra , contribute
vurdere , Consider
behov , needs
huske , remember
trekke , pull
oppleve , experience
plan , plan
nevne , mention
ansette , Hiring
foto , Photo
lede , lead
rekke , number
mat , food
rask , fast
elev , student
snar , quick
rette , right
stat , State
slippe , drop
samle , collect
ellers , otherwise
fungere , function
fri , off
bestemme , determine
poeng , points
takk , thanks
melde , sign
erfaring , experience
samarbeid , cooperation
inne , in
grei , straightforward
spise , eat
høres , sound
flott , great
hennes , her
søke , search
positiv , positive
august , August
minutt , minutes
bort , away
passe , fit
fast , fixed
leder , leader
ansvar , responsibility
økonomisk , economic
tv , television
nyhet , News
falle , fall
mening , opinion
tilfelle , case
november , November
handle , shop
hete , heat
sikre , ensure
antall , number of
utenfor , outside
fredag , Friday
fem , five
utrolig , incredible
ifølge , according
løsning , solution
regne , count
nødvendig , required
lørdag , Saturday
periode , period
bu , bu
juni , June
lokal , local
tekst , Text
behandling , treatment
redusere , reduce
reise , travel
benytte , benefit
hæ , huh
marked , market
parti , party
hverandre , each other
anbefale , recommend
klubb , club
blogg , blog
stadig , increasingly
tiltak , measures
sesong , season
trene , train
spiller , Player
sommer , summer
kamera , camera
forelder , parent
hus , house
delta , participate
oppgave , task
amerikansk , American
kropp , body
hjemme , at home
generell , general
rapport , report
debatt , debate
husk , remember
hard , hard
svare , reply
høst , fall
søndag , Sunday
nemlig , namely
forbindelse , connection
flytte , move
innhold , contents
direkte , direct
aktuell , current
kunnskap , knowledge
mangle , lack
meter , meters
alternativ , alternative
tross , Despite
hånd , hand
spennende , exciting
per , per
mandag , Monday
aktiv , active
far , father
januar , January
privat , private
arbeide , working
fjor , year
total , total
fort , fast
avtale , appointment
sosial , social
knytte , link
rom , room
kurs , courses
endring , change
foran , front
levere , supply
sentral , Central
skjønne , beauty
torsdag , Thursday
upassende , inappropriate
tanke , terms
innenfor , within
oppdatering , Update
jaha , -jaha
rolle , role
ende , end
nettopp , just
tjeneste , favor
aktivitet , Activity
hente , retrieve
forskning , research
glad , happy
miste , lose
bestå , consist
onsdag , Wednesday
mor , mother
hilsen , greeting
april , April
åpen , open
én , one
forskjell , difference
helst , any time
organisasjon , Organization
fremtid , future
forsøke , attempt
kvalitet , quality
rest , residual
politi , Police
interesse , interest
verdi , Value
støtte , Support
ball , Ball
eventuell , any
øye , eye
ferdig , finished
stemme , vote
koste , cost
ålreit , alright
utgangspunkt , base
ene , One
svart , black
personlig , personal
ren , clean
selvfølgelig , course
krig , War
telefon , phone
natt , night
dele , share
produkt , product
miljø , Environment
råd , advice
via , via
følgende , following
system , system
februar , February
slett , Clear
lik , equal
morgen , Tomorrow
vær , weather
ekstra , extra
endelig , finally
masse , mass
hode , head
klage , complaint
basere , base
selvsagt , course
bedrift , business
inneholde , contain
ungdom , youth
lys , light
lege , doctor
utdanning , education
nja , nja
politikk , policy
tilbud , Deals
ti , ten
milliard , billion
rød , red
kontroll , control
dessuten , furthermore
fornøyd , happy
klokke , clock
myndighet , authority
hest , horse
sammenheng , context
opprette , create
utfordring , challenge
tilby , offer
tak , roof
hevde , claim
virksomhet , activities
nedpå , down on
styrke , strength
klasse , class
helse , health
uti , UTI
aller , most
liste , list
fantastisk , awesome
skikkelig , properly
nivå , level
lyst , bright
interessant , interesting
desember , December
avis , newspaper
kraftig , powerful
alene , alone
unna , away
helg , weekend
bakgrunn , background
start , start
forrige , previous
praksis , practice
stoppe , stop
tråd , Thread
sjanse , chance
viss , certain
normal , normal
slags , kind
billig , inexpensive
felles , common
pasient , patient
forklare , explain
enten , either
effekt , effect
kaste , throw
aksje , stock
grunnlag , basis
naturlig , natural
undersøkelse , examination
vekt , weight
kunde , customer
tjene , serve
dør , dies
bytte , Exchange
fokus , focus
kultur , culture
lærer , teacher
dekke , cover
presentere , introduce
forfatter , author
nasjonal , National
drepe , kill
forvente , expect
fisk , fish
tilgjengelig , available
hvit , white
alvorlig , serious
gjest , guest
slite , wear
gratis , free
modell , model
fylle , fill
betydning , importance
merke , note
glemme , forget
politiker , politician
kjempe , fight
farge , Color
foreslå , suggest
salg , sale
henge , hang
jul , Christmas
voksen , adult
gæren , crazy
planlegge , plan
atten , eighteen
årsak , Cause
slutte , stop
ingenting , nothing
deretter , then
følelse , feeling
båt , boat
tilsvare , equivalent
video , video
diskutere , discuss
utføre , perform
elske , love
stilling , position
etablere , establish
tape , tape
juli , July
unngå , avoid
skøyte , Skating
daglig , daily
opplevelse , adventure
forsker , researcher
vokse , grow
behandle , Treat
beskrive , describe
dessverre , unfortunately
vurdering , assessment
sex , sex
derimot ," however,"
kraft , force
bryte , break
morsom , funny
kirke , church
utsette , exposing
seks , six
overfor , opposite
tydelig , clear
sykdom , disease
studium , Study
absolutt , absolute
seier , Win
ledelse , management
engelsk , English
tirsdag , Tuesday
lyd , sound
negativ , negative
halv , half
norge , Norway
død , death
trening , training
tittel , title
love , love
satse , bet
konsekvens , consequence
grense , limit
skille , differentiate
melding , Message
jøss , wow
karakter , character
from , from
fremre , front
eie , Owning
gal , gal
oppnå , achieve
diskusjon , discussion
fysisk , physical
påvirke , affect
styre , Board
fly , plane
skyte , shoot
hensyn , regard
fremover , forward
oppta , occupy
besøk , visit
bane , court
selve , the
føde , birth
motta , receive
arrangere , arranging
media , media
svak , weak
økonomi , Economics
gjennomføre , conduct
versjon , version
fare , Danger
nett , Web
kilde , source
tredje , the third
betydelig , significant
natur , nature
ennå , yet
bank , bank
forsvinne , disappear
praktisk , practical
fotball , football
verken , neither
test , test
imot , against
visning , view
rekkehus , townhouses
avslutte , end
bosted , residence
tillate , allow
øvrig , Otherwise
borte , away
stund , while
rik , rich
såkalt , so-called
konkurranse , competition
lykke , happiness
idé , idea
drikke , drink
sjekk , check
rar , rar
skade , damage
vakker , Beautiful
treffe , hit
sørge , ensure
serie , Series
trygg , safe
barnehage , nursery
punkt , point
makt , power
faglig , professional
tvil , doubt
logg , History
tung , heavy
funksjon , Function
fag , subjects
syk , ill
stige , rise
forsøk , attempt
bjørn , Bear
bein , bone
relativ , relative
overraske , surprise
prosess , process
fremdeles , still
løse , solve
evne , ability
anledning , opportunity
høyre , right
produsere , produce
effektiv , effective
sammenligne , Compare
innebære , involve
buss , bus
leser , reader
synge , Sing
teknisk , technical
tilgang , Access
interessere , interest
sjekke , check
utvalg , selection
dame , lady
redde , save
universitet , university
omgang , Half
profil , Profile
skriv , Print
språk , language
farlig , dangerous
verdt , worth
inkludere , include
oversikt , overview
middel , agent
glede , pleasure
tap , loss
alder , age
metode , Method
syn , view
eksistere , exist
takke , thank
fjern , remote
fy , fy
digital , digital
ete , eat
størrelse , size
avhengig , depending
bære , carry
kompetanse , expertise
sang , song
plutselig , suddenly
sann , true
inntekt , income
brev , letter
sykehus , hospital
utover , beyond
plassere , place
e-post , Email
omtrent , about
organisere , organize
vedta , adopt
stand , able
svensk , Swedish
risiko , risk
besøke , visit
midt , middle
uttrykk , expression
press , pressure
anmeldelse , Review
teste , testing
ødelegge , destroy
opplysning , Data
trolig , probably
handling , action
populær , popular
imponere , Impress
representere , represent
dyp , deep
konsert , concert
kritikk , criticism
produksjon , production
deltaker , participant
inngå , conclude
invitere , Invite
tysk , German
foreta , make
kjent , known
tett , close
knapp , button
inntil , until
faktum , fact
utstyr , equipment
standard , standard
gjennomført , completed
tegn , sign
linje , line
ressurs , resource
skjerm , Screen
befolkning , population
T-bane , Metro
retning , direction
skaffe , obtain
tube , tube
moderne , modern
olje , oil
skatt , tax
tale , speech
lansere , launch
rimelig , reasonable
president , President
konge , king
tusen , thousand
dukke , Doll
enorm , enormous
bibliotek , library
mengde , amount
næringsliv , industry
bred , wide
vedtak , Decision
vare , care
sentrum , center
fremme , promote
sjelden , rarely
hyggelig , nice
bekrefte , confirm
ansvarlig , responsible
fordel , advantage
oppstå , occur
rettighet , Rights
oppdage , discover
foregå , previous
teknologi , technology
innføre , introduce
utgjøre , pose
re , re
lignende , similar
uttale , pronunciation
kristen , Christian
oppe , upstairs
dansk , Danish
stoff , fabric
frisk , fresh
kjøp , purchase
hjerte , heart
begrense , limit
skyldes , due
vekst , Growth
varm , hot
post , mail
umulig , impossible
sau , sheep
opprinnelig , originally
kjærlighet , love
vinter , winter
skyld , guilt
varme , heating
hotell , Hotel
flink , clever
grønn , green
global , global
forståelse , understanding
mørk , dark
minne , memory
æsj , ugh
godkjenne , approve
hende , may
varsle , Alert
bord , table
tradisjonell , traditional
part , party
gate , street
konto , account
enhver , every
ringe , call
nettside , Website
materiale , material
fjøs , barns
omtale , Review
enebolig , detached
tom , empty
konkret , concrete
avdeling , Department
historisk , historical
publikum , public
snu , turn
ytterligere , further
ettersom , as
ramme , frame
europeisk , European
trykke , pressing
unge , young
øl , beer
kald , cold
foreløpig , yet
link , link
omfatte , include
syv , seven
usikker , uncertain
nekte , refuse
øvre , upper
søknad , application
perfekt , perfect
sikkerhet , Safety
representant , Representative
mer , more
begrep , term
langs , along
vekk , away
forsvar , Defence
holdning , attitude
konflikt , conflict
maskin , machine
nylig , recently
tank , tank
stenge , close
nettsted , website
sove , sleep
vesentlig , significantly
pen , pretty
nummer , number
snakk , talk
drift , operation
argument , argument
begynnelse , beginning
kone , wife
journalist , journalist
dreie , turning
prinsipp , Principle
